"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"121",0,1,0,0,2,1,0,1,0,4
"122",0,1,0,0,3,0,2,1,0,3
"123",0,1,0,0,1,0,1,1,0,2
"124",0,0,0,0,0,0,0,0,0,1
"125",0,0,0,0,1,0,0,0,0,1
"126",0,1,0,0,0,0,0,1,0,1
"127",1,3,0,0,3,1,1,1,0,4
"128",0,1,0,0,1,0,1,1,0,2
"129",0,1,0,0,3,1,0,0,0,3
"130",0,0,0,0,1,1,0,0,0,1
"131",0,0,0,0,1,0,0,0,0,1
"132",0,0,0,0,2,0,0,1,0,3
"133",1,2,0,0,1,0,0,2,1,2
"134",0,0,0,0,1,0,0,0,0,1
"135",0,0,0,0,0,0,0,0,0,0
"136",0,2,0,0,4,1,1,3,0,5
"137",0,0,0,0,1,0,0,0,0,1
"138",0,0,0,0,1,0,0,0,0,1
"139",0,0,0,0,1,0,0,0,0,1
"140",0,0,0,0,1,0,0,2,0,5
"141",0,4,1,1,5,1,3,4,2,8
"142",0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,1,1,0,0,0,2
"144",0,0,0,0,0,0,0,0,0,1
"145",0,0,0,0,0,0,0,0,0,0
"146",1,1,0,0,0,0,0,2,1,0
"147",0,0,0,0,0,0,1,0,0,1
"148",0,0,0,0,1,1,0,1,0,2
"149",0,0,0,0,0,0,0,0,0,0
"150",1,0,0,0,2,2,1,1,1,3
"151",0,0,0,1,1,1,0,0,1,3
"152",0,0,0,0,1,0,0,0,0,1
"153",0,0,0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,1,0,0,1
"155",0,0,0,0,0,0,0,0,0,0
"156",0,0,0,0,3,1,0,2,0,5
"157",1,2,0,0,2,1,0,4,1,4
"158",0,0,0,0,0,0,0,0,0,0
"159",0,1,0,1,1,0,1,1,1,3
"160",0,1,0,0,1,0,0,0,0,1
"161",0,0,0,0,1,0,0,0,0,1
"162",0,1,0,0,1,1,1,0,1,1
"163",0,1,0,0,1,0,0,0,0,2
"164",0,0,0,0,1,0,0,0,0,2
"165",2,2,1,0,2,3,0,3,2,4
"166",0,0,0,0,0,0,0,0,0,0
"167",0,1,0,0,0,0,0,0,0,0
"168",0,0,0,0,1,0,1,0,0,1
"169",0,0,0,0,1,0,0,0,0,1
"170",0,2,0,0,3,1,1,1,0,4
"171",0,1,0,0,1,0,1,1,0,1
"172",0,0,0,0,1,0,0,1,0,1
"173",0,0,0,0,0,0,0,0,0,0
"174",0,1,0,0,1,0,1,0,0,2
"175",0,0,0,0,0,0,0,0,0,3
"176",0,0,0,0,0,0,0,0,0,0
"177",1,0,1,0,0,1,0,0,2,0
"178",0,1,0,0,1,0,1,1,0,1
"179",0,1,0,0,1,0,1,1,0,1
"180",1,0,0,0,0,0,0,0,1,0
"181",0,0,0,0,0,0,0,0,0,1
"182",0,0,0,0,0,0,0,0,0,0
"183",0,1,0,0,3,1,1,0,0,5
"184",0,0,0,0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0,0,1,0
"186",0,0,0,0,1,0,0,0,0,1
"187",0,1,0,0,1,0,0,1,0,1
"188",2,1,1,0,1,3,0,0,3,3
"189",1,1,2,2,1,3,2,1,2,2
"190",0,0,0,0,0,0,0,0,0,0
"191",0,0,0,0,0,0,0,1,0,1
"192",1,1,0,0,2,1,1,1,0,4
"193",0,1,0,0,3,1,0,0,0,4
"194",0,0,0,0,1,0,0,0,0,1
"195",0,0,0,0,0,0,0,0,0,1
"196",0,0,0,0,0,0,0,0,0,0
"197",0,0,0,0,1,0,0,0,0,1
"198",0,0,0,0,2,0,1,2,0,4
